id,outcode,lat,lng
363,BT66,54.455,-6.333
364,BT67,54.487,-6.268
365,BT68,54.366,-6.848
366,BT69,54.424,-6.949
367,BT7,54.580174,-5.925269
368,BT70,54.515,-6.887
369,BT71,54.510887,-6.664113
370,BT74,54.343,-7.665
371,BT75,54.369185,-7.298166
372,BT76,54.419,-7.191
373,BT77,54.427,-7.117
374,BT78,54.571,-7.374
375,BT79,54.624,-7.201
376,BT8,54.532095,-5.939289
377,BT80,54.645,-6.748
378,BT81,54.694,-7.614
379,BT82,54.826,-7.427
380,BT9,54.569516,-5.955895
381,BT92,54.223,-7.462
382,BT93,54.465,-7.826
383,BT94,54.376,-7.541
384,CA1,54.884411,-2.913138
385,CA10,54.611,-2.659
386,CA11,54.664,-2.786
387,CA12,54.602,-3.133
388,CA13,54.66,-3.366
389,CA14,54.62389,-3.496364
390,CA15,54.712,-3.481
391,CA16,54.574,-2.483
392,CA17,54.479,-2.35
393,CA18,54.354,-3.39
394,CA19,54.387,-3.382
395,CA2,54.884,-2.949
396,CA20,54.41,-3.461
397,CA21,54.445,-3.515
398,CA22,54.48,-3.531
399,CA23,54.514,-3.493
400,CA24,54.515,-3.542
401,CA25,54.523,-3.517
402,CA26,54.544,-3.481
403,CA27,54.491,-3.592
404,CA28,54.54505,-3.583306
405,CA3,54.907,-2.939
406,CA4,54.83682,-2.804464
407,CA5,54.855,-3.015
408,CA6,54.994,-2.892
409,CA7,54.807,-3.237
410,CA8,54.939,-2.685
411,CA9,54.802,-2.419
412,CA95,54.644668,-3.56645
413,CB1,52.196481,0.063253
414,CB10,52.031704,0.288008
415,CB11,52.000225,0.191351
416,CB2,52.188521,0.12703
417,CB21,52.127166,0.272036
418,CB22,52.142087,0.125502
419,CB23,52.212508,-0.002369
420,CB24,52.274212,0.071859
421,CB25,52.268824,0.247153
422,CB3,52.212449,0.102385
423,CB4,52.223021,0.135567
424,CB5,52.21899,0.152101
425,CB6,52.404,0.224
426,CB7,52.382019,0.351405
427,CB8,52.222012,0.446478
428,CB9,52.084317,0.445598
429,CF10,51.473451,-3.165409
430,CF11,51.469015,-3.198052
431,CF14,51.524243,-3.193911
432,CF15,51.542365,-3.287235
433,CF23,51.517722,-3.151578
434,CF24,51.484402,-3.160073
435,CF3,51.531671,-3.097827
436,CF30,51.519635,-3.119562
437,CF31,51.510827,-3.570723
438,CF32,51.534454,-3.595119
439,CF33,51.52722,-3.649109
440,CF34,51.608871,-3.64757
441,CF35,51.524525,-3.530609
442,CF36,51.488946,-3.701341
443,CF37,51.613122,-3.341666
444,CF38,51.571102,-3.328536
445,CF39,51.599351,-3.434467
446,CF40,51.616378,-3.455906
447,CF41,51.648606,-3.479228
448,CF42,51.667744,-3.530892
449,CF43,51.656878,-3.458452
450,CF44,51.747777,-3.500599
451,CF45,51.670291,-3.360548
452,CF46,51.67177,-3.295801
453,CF47,51.752334,-3.377307
454,CF48,51.755637,-3.382044
455,CF5,51.474835,-3.286096
456,CF61,51.4178,-3.505707
457,CF62,51.40745,-3.359659
458,CF63,51.411489,-3.250475
459,CF64,51.428866,-3.205866
460,CF71,51.463101,-3.453937
461,CF72,51.530093,-3.391728
462,CF81,51.6906,-3.257353
463,CF82,51.652352,-3.241683
